protein_1	A1URA3
protein_247	A9BHL9
protein_248	B0S1J4
protein_249	B1MZM3
protein_250	B2GB19
protein_251	Q70WY9
protein_252	Q9LCQ6
protein_253	B0K3X0
protein_254	P72846
protein_255	Q7ND43
protein_256	B3ENQ2
protein_257	Q7UJK7
protein_258	A4IQF5
protein_259	Q73LF2
protein_260	A5VIJ0
protein_261	Q048Y5
protein_262	Q0SI65
protein_263	Q1D568
protein_264	Q21LB1
protein_265	Q2NX47
protein_266	Q51416
protein_267	A5DUA7
protein_268	B3CL71
protein_269	P46224
protein_270	Q5YQZ4
protein_271	P39134
protein_272	B8FVF9
protein_273	A0Q735
protein_274	B3CPW2
protein_275	Q2S237
protein_276	B0T360
protein_277	B1MVT6
protein_278	B3PRD9
protein_279	B6EKY3
protein_280	Q39QX7
protein_281	Q9RNL1
protein_282	A9A4S0
protein_283	Q6MEN7
protein_284	P09339
protein_285	P37554
protein_286	O06014
protein_287	P15378
protein_288	P39800
protein_289	Q08430
protein_290	G2E3K0
protein_291	P07102
protein_292	P9WQJ9
protein_293	Q93JL5
protein_294	P0A6Y5
protein_295	P64476
protein_296	A7HGZ0
protein_297	Q184Z6
protein_298	Q7UH38
protein_299	B2USZ6
protein_300	Q0SRK8
protein_301	Q4L9R5
protein_302	B1YF09
protein_303	A0LGB7
protein_304	B2J722
protein_305	A0A7Y9IQT2
protein_306	P30770
protein_307	P57298
protein_308	P96130
protein_309	Q04RG9
protein_310	Q115Z7
protein_311	A5VKT6
protein_312	B0RTZ0
protein_313	B4UEL1
protein_314	Q04FB0
protein_315	Q2W1G5
protein_316	B3DVC8
protein_317	B4UFZ1
protein_318	B8EJI5
protein_319	B9E6V7
protein_320	Q3SIN5
protein_321	Q7NXI4
protein_322	A0ALG6
protein_323	B2IFJ6
protein_324	Q2N786
protein_325	Q3A3S5
protein_326	Q483C5
protein_327	Q5FG40
protein_328	Q604U8
protein_329	Q6F992
protein_330	P42062
protein_331	Q5WD36
protein_332	O06723
protein_333	Q65IG4
protein_334	Q55143
protein_335	A1WXU3
protein_336	A4IKW6
protein_337	A5D243
protein_338	A5UWX7
protein_339	A6VXD2
protein_340	Q8ZWY4
protein_341	Q8CXF3
protein_342	Q9RVT3
protein_343	A6TU24
protein_344	Q12PV1
protein_345	P39620
protein_346	P31114
protein_347	O05231
protein_348	P0CY50
protein_349	P38586
protein_350	A4VFG0
protein_351	A5FRN7
protein_352	A6LEJ8
protein_353	A7MQB5
protein_354	P50739
protein_355	P59106
protein_356	Q9L268
protein_357	P60495
protein_358	O31982
protein_359	A0A508AIU3
protein_360	A0A534I2S4
protein_361	A6LMU8
protein_362	A7MUN4
protein_363	A9B5N7
protein_364	B0B7F6
protein_365	B0VAU7
protein_366	A2RNA8
protein_367	A4VSA6
protein_368	A5FW68
protein_369	A6LPB4
protein_370	A7NF69
protein_371	C1D1C3
protein_372	P71615
protein_373	A4XIT8
protein_374	P9WGE2
protein_375	A7I2C6
protein_376	Q5NR75
protein_377	Q6MHJ5
protein_378	Q7USY7
protein_379	Q89AK2
protein_380	B3WCK5
protein_381	Q04SA1
protein_382	Q47NU8
protein_383	A0JXB5
protein_384	B2IQT4
protein_385	Q5FRF2
protein_386	O53177
protein_387	P9WG31
protein_388	P9WJJ0
protein_389	Q7CQE0
protein_390	P07373
protein_391	P37553
protein_392	P59624
protein_393	Q939S9
protein_394	A0A660SLP7
protein_395	A0A6J4KJ90
protein_396	A0A7R6PSS9
protein_397	O67398
protein_398	P44121
protein_399	P59065
protein_400	Q03EQ9
protein_401	Q0ALX8
protein_402	Q2FE11
protein_403	B1HT11
protein_404	Q188Z4
protein_405	B0RVV0
protein_406	Q2GCW3
protein_407	B9JWL2
protein_408	C1DIC2
protein_409	O31990
protein_410	P56898
protein_411	Q04A21
protein_412	A0R561
protein_413	E4QH55
protein_414	O34098
protein_415	A0A096ZN76
protein_416	A0A0Q7D0H9
protein_417	B0K0L7
protein_418	B1KD33
protein_419	B3E8F8
protein_420	B5YIF8
protein_421	Q8CXD4
protein_422	Q8XWB1
protein_423	Q9Z7D3
protein_424	P0A7J0
protein_425	P67910
protein_426	Q3JCY9
protein_427	Q4L5F1
protein_428	Q5WAZ9
protein_429	Q6AE23
protein_430	Q73LJ9
protein_431	Q5P1H4
protein_432	A2C7F4
protein_433	B7J1T5
protein_434	Q5FL71
protein_435	A0A525VXR3
protein_436	P80880
protein_437	A0A0H3CEP9
protein_438	B2J938
protein_439	A0LXZ7
protein_440	A1QYK3
protein_441	A2RLW6
protein_442	A4VIX7
protein_443	A5FS25
protein_444	P08394
protein_445	A2RH77
protein_446	P94846
protein_447	Q9RVC4
protein_448	A0Q7L0
protein_449	Q1LSC9
protein_450	Q1LQ34
protein_451	P28368
protein_452	A0R3R7
protein_453	P37573
protein_454	A0A2N6FBL8
protein_455	A0AJZ6
protein_456	A1ATJ6
protein_457	A1WZ63
protein_458	A4J4E2
protein_459	A5EXG1
protein_460	A1APQ8
protein_461	Q255N7
protein_462	P07752
protein_463	P9WN45
protein_464	Q8YDM4
protein_465	Q602E0
protein_466	Q8EPW3
protein_467	P9WG29
protein_468	P9WKC5
protein_469	A0A3S0KHU7
protein_470	Q9Z850
protein_471	Q53595
protein_472	O34507
protein_473	P0AC28
protein_474	P9WI31
protein_475	Q0A4X2
protein_476	Q11T17
protein_477	Q1MP36
protein_478	Q2GLU6
protein_479	Q2W2A3
protein_480	Q9RC82
protein_481	Q9ZN78
protein_482	Q03415
protein_483	O32062
protein_484	P24139
protein_485	P24230
protein_486	P0A452
protein_487	P9WMQ5
protein_488	A0AL18
protein_489	A1AW02
protein_490	P9WIF5
protein_491	P39048
protein_492	Q813A6
protein_493	P25519
protein_494	Q2FY15
protein_495	F0RNX5
protein_496	P9WIR7
protein_497	P46888
protein_498	A1TZ36
protein_499	B1XPT1
protein_500	P0A0R6
protein_501	Q5FRJ1
protein_502	Q979Z9
protein_503	Q1GTJ4
protein_504	A6QBN8
protein_505	C8W731
protein_506	Q2NIN5
protein_507	A1BCG1
protein_508	Q61510
protein_509	B2UE66
protein_510	D3FFN2
protein_511	Q60AK1
protein_512	A9IZX9
protein_513	Q9KEC6
protein_514	O31614
protein_515	P81602
protein_516	B0SHT0
protein_517	Q2JH49
protein_518	A6Q8H2
protein_519	A7Z9I5
protein_520	A9BIM4
protein_521	B0SA75
protein_522	B1VDJ7
protein_523	Q5FSL4
protein_524	A0RZ01
protein_525	A4J3D4
protein_526	B6INP2
protein_527	Q38XA1
protein_528	Q4UNG8
protein_529	Q5WFY4
protein_530	Q6AF49
protein_531	Q55CC2
protein_532	A6TKJ3
protein_533	Q7M9A6
protein_534	O53223
protein_535	P0AGL5
protein_536	Q02SH2
protein_537	P06134
protein_538	Q9X2H9
protein_539	P64154
protein_540	Q97QP9
protein_541	Q8CXK0
protein_542	A5UY93
protein_543	Q2NGI4
protein_544	Q46829
protein_545	A6L903
protein_546	P9WLN8
protein_547	P59105
protein_548	P37534
protein_549	P26936
protein_550	A5A616
protein_551	Q3BZ95
protein_552	P37527
protein_553	B1KYX4
protein_554	Q8EN04
protein_555	D4GS06
protein_556	A0LUZ6
protein_557	A5GI07
protein_558	A9NGL4
protein_559	B3WF00
protein_560	Q03RP7
protein_561	F5R7R1
protein_562	W0RIW6
protein_563	P9WMK7
protein_564	Q820T0
protein_565	A4WCP8
protein_566	A2SEL8
protein_567	A9GC83
protein_568	B8I004
protein_569	P77494
protein_570	P9WMB3
protein_571	A1TEV0
protein_572	P07868
protein_573	P08164
protein_574	Q59659
protein_575	O27115
protein_576	P34147
protein_577	P9WHT9
protein_578	Q1MDE9
protein_579	P40746
protein_580	Q45358
protein_581	A4IN31
protein_582	O07544
protein_583	P19471
protein_584	C0R1L6
protein_585	O08307
protein_586	O83985
protein_587	P46835
protein_588	P64315
protein_589	Q8RAA8
protein_590	C0SPA3
protein_591	O68687
protein_592	P40867
protein_593	Q5FS11
protein_594	A5FZ96
protein_595	A8FED1
protein_596	A5IIP0
protein_597	B2GDY8
protein_598	Q0TV46
protein_599	Q1GDL4
protein_600	Q2G7J5
protein_601	Q2RZ65
protein_602	B0SB16
protein_603	B2II71
protein_604	P25527
protein_605	P80644
protein_606	B7UQ15
protein_607	P0A8V2
protein_608	D0ZY51
protein_609	A0PXK7
protein_610	A4J9S1
protein_611	A9WKE3
protein_612	Q0BW92
protein_613	Q3YT72
protein_614	A4J7D2
protein_615	A5F379
protein_616	A5VIX0
protein_617	A7GSZ3
protein_618	C3NQJ0
protein_619	P0AB83
protein_620	A9WDC2
protein_621	P9WFC7
protein_622	Q9RY51
protein_623	A0A1H9AQD5
protein_624	A0A2D5REX7
protein_625	Q3ABL4
protein_626	Q49V12
protein_627	Q5FSM8
protein_628	Q62CK6
protein_629	Q3Z6N9
protein_630	Q7NIB2
protein_631	Q9KL16
protein_632	Q2NK67
protein_633	Q79FV4
protein_634	Q6C8V1
protein_635	A5VIE8
protein_636	Q83WI9
protein_637	Q1LQK4
protein_638	B8DT61
protein_639	Q15UD4
protein_640	Q5NRL4
protein_641	Q8DJB3
protein_642	A2BPU3
protein_643	Q8CX97
protein_644	A1TLP7
protein_645	A6VYL7
protein_646	B1I295
protein_647	B8CX96
protein_648	A0A2G6NCJ7
protein_649	A0A2N6EJJ2
protein_650	P0ABC7
protein_651	P18133
protein_652	A9ETZ9
protein_653	O67588
protein_654	Q5P3M1
protein_655	Q0AZZ5
protein_656	Q18CB2
protein_657	Q211V0
protein_658	Q2P5R1
protein_659	Q38VS5
protein_660	Q93N68
protein_661	P54507
protein_662	P37475
protein_663	O05495
protein_664	P14892
protein_665	Q1LLA9
protein_666	A0LE47
protein_667	C1FAF1
protein_668	Q7ULV7
protein_669	Q7NZ47
protein_670	O53638
protein_671	P64578
protein_672	P9WK85
protein_673	P0A6P5
protein_674	P0DPJ9
protein_675	P23743
protein_676	B1ZUS0
protein_677	Q3A8C3
protein_678	P37474
protein_679	P57529
protein_680	Q02AG7
protein_681	Q0A5M1
protein_682	Q11Z44
protein_683	P0A9H1
protein_684	P9WNT3
protein_685	A0JUH2
protein_686	A1B9F5
protein_687	A2BTJ7
protein_688	P59930
protein_689	Q04QW2
protein_690	Q10YG4
protein_691	Q1H2P1
protein_692	Q28V18
protein_693	Q9ZLD6
protein_694	A1B5X7
protein_695	A1VMV7
protein_696	A4IMK2
protein_697	A5D6E6
protein_698	Q5Z1D1
protein_699	Q6F1D3
protein_700	Q7MXR7
protein_701	Q7W9W1
protein_702	Q8RGV2
protein_703	A9GF63
protein_704	Q3A2Z3
protein_705	P94390
protein_706	Q03E71
protein_707	A2RFD0
protein_708	A4SGE1
protein_709	A5G7Q9
protein_710	A5WFR0
protein_711	A7HL71
protein_712	B2V8C0
protein_713	Q7VQZ1
protein_714	A5FS65
protein_715	Q0W8X1
protein_716	P12033
protein_717	Q8A8C3
protein_718	Q97BG8
protein_719	B2KCP2
protein_720	Q2Y9K0
protein_721	B1GZK7
protein_722	Q31GI3
protein_723	Q3J3U4
protein_724	Q4JYA4
protein_725	Q5R0A6
protein_726	Q6A9J8
protein_727	A3DHY8
protein_728	A9KLX9
protein_729	Q0AKE8
protein_730	Q3J6L9
protein_731	B8DUG2
protein_732	G8QM62
protein_733	P43780
protein_734	Q03FR9
protein_735	Q2RKX6
protein_736	Q0A8X6
protein_737	Q128Q7
protein_738	Q1LKN3
protein_739	Q2GJJ1
protein_740	Q2S6G1
protein_741	P08064
protein_742	A9GD65
protein_743	O67547
protein_744	P0AF61
protein_745	P9WGZ1
protein_746	A0PXM8
protein_747	C5CES8
protein_748	Q1D491
protein_749	Q9HSS7
protein_750	C0QPI1
protein_751	A5A618
protein_752	O51558
protein_753	P80240
protein_754	Q9AP34
protein_755	A5VJE5
protein_756	Q2SRE1
protein_757	Q3ATE5
protein_758	Q4FM55
protein_759	Q5LC24
protein_760	Q67KI8
protein_761	Q97FX3
protein_762	A0M2N6
protein_763	A6UEE9
protein_764	B2UPK5
protein_765	Q59097
protein_766	A1RTB8
protein_767	Q2S3H9
protein_768	Q4VKV0
protein_769	A5G168
protein_770	Q0BW93
protein_771	Q46851
protein_772	A6VMQ9
protein_773	B4SG55
protein_774	Q0ATU5
protein_775	Q3SF39
protein_776	Q8RHA2
protein_777	P0A639
protein_778	A4FFN9
protein_779	Q11YS6
protein_780	Q1IXS9
protein_781	Q2GGT4
protein_782	Q2S2B5
protein_783	Q39CW7
protein_784	B8FZR4
protein_785	P39220
protein_786	P65098
protein_787	P16142
protein_788	Q82WB9
protein_789	P9WGI3
protein_790	O31808
protein_791	O34928
protein_792	O31671
protein_793	Q04809
protein_794	Q8UAN8
protein_795	Q9RLM5
protein_796	K5BDL0
protein_797	P54550
protein_798	O67304
protein_799	P0A9K9
protein_800	P0AB65
protein_801	A8ZX50
protein_802	B8J198
protein_803	Q1LI51
protein_804	Q1LS34
protein_805	Q1LRQ5
protein_806	O05886
protein_807	A1ACB2
protein_808	P35488
protein_809	P33074
protein_810	A5EX54
protein_811	Q5LCW4
protein_812	O30916
protein_813	O66921
protein_814	Q5HHB0
protein_815	Q826F2
protein_816	Q61624
protein_817	A6UNR2
protein_818	E6WEY6
protein_819	P42101
protein_820	Q01903
protein_821	P9WM79
protein_822	P9WGG5
protein_823	O35028
protein_824	P06575
protein_825	P06628
protein_826	Q03NA6
protein_827	Q18A91
protein_828	Q1WRS0
protein_829	Q2N9V6
protein_830	P49825
protein_831	Q83FV7
protein_832	B1XYL1
protein_833	Q2WBG9
protein_834	A1TLI0
protein_835	P0ACF8
protein_836	P77754
protein_837	P0A9W6
protein_838	Q81IT9
protein_839	G8QM64
protein_840	P0A2V6
protein_841	A1AXX6
protein_842	A8EV95
protein_843	P0C8N9
protein_844	Q2S6H2
protein_845	Q8A9C1
protein_846	Q8P302
protein_847	Q9A5I1
protein_848	Q9Z934
protein_849	A1A2K3
protein_850	Q114R5
protein_851	Q5HNW5
protein_852	Q8CXD2
protein_853	A1WMU7
protein_854	B5FA52
protein_855	A5F493
protein_856	A5VJH9
protein_857	A7HD67
protein_858	A8YTH9
protein_859	A9N940
protein_860	Q2GHU0
protein_861	Q6F148
protein_862	Q93R28
protein_863	A6W1R8
protein_864	C4LD03
protein_865	A0LH27
protein_866	A8EWT7
protein_867	B7KLH9
protein_868	Q11B39
protein_869	Q5LED3
protein_870	Q4JV82
protein_871	Q8R5Z6
protein_872	B2V095
protein_873	A3MZ69
protein_874	C4XQ09
protein_875	A1BEN9
protein_876	B5Y7T1
protein_877	Q3B0J2
protein_878	Q0VMX9
protein_879	B3CL70
protein_880	Q9WWL3
protein_881	Q1LNJ3
protein_882	Q1LJD3
protein_883	Q1LIA4
protein_884	A8F429
protein_885	A9HJ64
protein_886	B0TER7
protein_887	B1Y3P5
protein_888	B2RJT7
protein_889	A4IKI9
protein_890	O06997
protein_891	P13251
protein_892	P46915
protein_893	Q7WY58
protein_894	Q83EL0
protein_895	Q97NV3
protein_896	A7HU88
protein_897	Q05971
protein_898	P32959
protein_899	P55339
protein_900	Q5WC42
protein_901	B7H546
protein_902	Q97LP6
protein_903	P0AEJ4
protein_904	Q55804
protein_905	P0AFM9
protein_906	Q7V8Y7
protein_907	P40893
protein_908	Q1LJV9
protein_909	Q1LPW2
protein_910	Q1LHK8
protein_911	P75687
protein_912	Q9AGU4
protein_913	A5IA60
protein_914	B1YMH1
protein_915	P9WMU9
protein_916	P9WMU3
protein_917	P9WMA4
protein_918	Q8ZA49
protein_919	Q93LK8
protein_920	A3PHK4
protein_921	A5CW96
protein_922	A5IY71
protein_923	A6UFF8
protein_924	A8F2H0
protein_925	B2GA76
protein_926	C1P602
protein_927	O53405
protein_928	P72795
protein_929	Q1H396
protein_930	A0A2W4PBR8
protein_931	A0A3N5ENL4
protein_932	P71044
protein_933	Q939T0
protein_934	O06716
protein_935	P02967
protein_936	P40869
protein_937	Q6AK61
protein_938	Q8RGH4
protein_939	P15007
protein_940	A9B6A4
protein_941	C4Y3W1
protein_942	C1F876
protein_943	O66652
protein_944	P59496
protein_945	Q04HR3
protein_946	Q10VZ5
protein_947	Q15N19
protein_948	A0A0B5K7Z7
protein_949	A0A1E4B4K2
protein_950	A7HLH6
protein_951	C5BMA2
protein_952	Q6APZ3
protein_953	Q9RW62
protein_954	A0A7Y2AZE8
protein_955	Q56239
protein_956	A0L837
protein_957	A1SMA5
protein_958	A2RGV1
protein_959	A4T026
protein_960	Q8A2H2
protein_961	Q3IDD5
protein_962	A0A0C1U1N5
protein_963	P9WPI3
protein_964	P0ACY3
protein_965	P0ABC3
protein_966	P13669
protein_967	A9B5N1
protein_968	A3M8D6
protein_969	A9HI81
protein_970	B8J0P3
protein_971	Q1GY95
protein_972	Q9AL94
protein_973	A5N8I8
protein_974	C1A1G4
protein_975	O32270
protein_976	P75853
protein_977	P00448
protein_978	P30745
protein_979	Q9RR44
protein_980	B2V6N0
protein_981	Q30R39
protein_982	Q6LTE2
protein_983	Q8RH08
protein_984	O69242
protein_985	P9WJY7
protein_986	Q7VF74
protein_987	Q89L46
protein_988	Q8NQU9
protein_989	Q9Z7T3
protein_990	A7GKY7
protein_991	O31819
protein_992	P27755
protein_993	P71088
protein_994	Q9K5W7
protein_995	P0ACD8
protein_996	P0AAN9
protein_997	A7Z6Z1
protein_998	P0A800
protein_999	B1XJ90
protein_1000	B3R0F8
protein_1001	B7IEM8
protein_1002	B8H7D1
protein_1003	A8EUE8
protein_1004	Q4JWV0
protein_1005	Q8CUL8
protein_1006	P36413
protein_1007	Q9X597
protein_1008	O06719
protein_1009	P07787
protein_1010	P42063
protein_1011	Q5WGB8
protein_1012	A5FQC0
protein_1013	A6L8H5
protein_1014	A7HNR3
protein_1015	A8ZXH5
protein_1016	A9VSE5
protein_1017	X7E5C9
protein_1018	P9WNM5
protein_1019	P9WIN9
protein_1020	P00579
protein_1021	Q041Y0
protein_1022	Q2RX74
protein_1023	A5IND6
protein_1024	Q1LSF5
protein_1025	B1HVP3
protein_1026	Q1WSX7
protein_1027	Q823E7
protein_1028	A0RMI8
protein_1029	A5VRD9
protein_1030	B2A302
protein_1031	B3CPG9
protein_1032	B4U9X0
protein_1033	B8DQU5
protein_1034	Q9Z7E4
protein_1035	P0AA16
protein_1036	P69228
protein_1037	P06610
protein_1038	Q79VE0
protein_1039	A0A2T5PF56
protein_1040	B7J1B1
protein_1041	Q6MA36
protein_1042	A4QHI9
protein_1043	B1YKS8
protein_1044	P30726
protein_1045	Q5FLX2
protein_1046	Q609L2
protein_1047	Q6KH72
protein_1048	Q59661
protein_1049	A1VYP2
protein_1050	Q31FV4
protein_1051	Q7WY72
protein_1052	Q46865
protein_1053	A8GV67
protein_1054	Q057X7
protein_1055	Q8EUH7
protein_1056	B2A549
protein_1057	Q04BW0
protein_1058	Q0SWW7
protein_1059	Q1DC68
protein_1060	Q2G6Q5
protein_1061	A5II10
protein_1062	Q048G7
protein_1063	Q65EQ3
protein_1064	A4TPU4
protein_1065	Q7MF74
protein_1066	P9WJW3
protein_1067	P37572
protein_1068	Q726D5
protein_1069	A0LGY7
protein_1070	A1U1C0
protein_1071	Q6M2F0
protein_1072	B1H0R2
protein_1073	Q2S6G8
protein_1074	A1KSH0
protein_1075	A9IGC0
protein_1076	O69267
protein_1077	Q2NAJ5
protein_1078	A7I1M8
protein_1079	P48214
protein_1080	A9FA52
protein_1081	C5BZB0
protein_1082	Q2GD37
protein_1083	Q7QDY3
protein_1084	P16449
protein_1085	P40420
protein_1086	Q2JDA6
protein_1087	A4IMM1
protein_1088	O07520
protein_1089	Q1LI52
protein_1090	Q1LM61
protein_1091	Q1LIE4
protein_1092	Q1LJ86
protein_1093	Q1LKI4
protein_1094	P37575
protein_1095	P84585
protein_1096	O06718
protein_1097	P07786
protein_1098	C5DDS4
protein_1099	Q2GGS6
protein_1100	Q7U4U9
protein_1101	P37283
protein_1102	Q1LI48
protein_1103	Q1GSN3
protein_1104	Q254F3
protein_1105	Q2RMJ4
protein_1106	Q31I96
protein_1107	Q3J7Z8
protein_1108	Q9X3X2
protein_1109	A2C1W8
protein_1110	A8MFV5
protein_1111	B8FAZ7
protein_1112	Q12UC1
protein_1113	O53896
protein_1114	P67430
protein_1115	P02932
protein_1116	Q55025
protein_1117	E6ESW1
protein_1118	P28613
protein_1119	I6X235
protein_1120	P9WHJ3
protein_1121	P26996
protein_1122	Q6ML45
protein_1123	P80242
protein_1124	Q9F487
protein_1125	A6TSM2
protein_1126	B2A3Y0
protein_1127	C1F408
protein_1128	O51879
protein_1129	Q7V9J7
protein_1130	A5IIT3
protein_1131	B2UBP7
protein_1132	P95333
protein_1133	B7JC25
protein_1134	Q0BS22
protein_1135	Q3J802
protein_1136	Q8CXG5
protein_1137	B2ICR0
protein_1138	A0A2Z3JRM3
protein_1139	K9ZWH8
protein_1140	P39396
protein_1141	P9WIK1
protein_1142	P0AAI5
protein_1143	Q1D607
protein_1144	Q5FRZ1
protein_1145	Q9KAC3
protein_1146	B5FFP5
protein_1147	Q7VU93
protein_1148	A0A831XN23
protein_1149	G2JZ43
protein_1150	P39297
protein_1151	Q6F754
protein_1152	A3M830
protein_1153	B0RS04
protein_1154	O83456
protein_1155	P74374
protein_1156	Q0A8K3
protein_1157	Q11Z58
protein_1158	Q1IY76
protein_1159	B8GWW6
protein_1160	C0QFS1
protein_1161	C4Z176
protein_1162	O83969
protein_1163	P74533
protein_1164	Q8XKG8
protein_1165	Q0E3C8
protein_1166	A9H8G7
protein_1167	C5DXI0
protein_1168	Q2H683
protein_1169	P40779
protein_1170	A9EZV5
protein_1171	Q5FGT9
protein_1172	P16263
protein_1173	Q1RJT3
protein_1174	Q60B18
protein_1175	A4G0R6
protein_1176	C5CG73
protein_1177	P45742
protein_1178	Q59940
protein_1179	C6EBU6
protein_1180	P32696
protein_1181	Q4MVY3
protein_1182	A1JN27
protein_1183	A9MQN1
protein_1184	Q74EG5
protein_1185	A0LI67
protein_1186	A1U339
protein_1187	A3CNU0
protein_1188	A4XJS2
protein_1189	Q1QY27
protein_1190	Q607R4
protein_1191	A0K5F9
